ID,CPF,Nome,Idade,Data_Cadastro
10,637.785.120-10,Gabriel Costa,47,2022-09-02
11,446.516.353-15,Carlos Ribeiro,47,2023-01-20
12,581.442.846-90,Aline Dias,85,2022-06-25
13,846.103.013-44,Theo Ribeiro,46,2020-03-24
14,972.636.561-12,Maitê Almeida,48,2021-06-03
15,690.669.736-21,Theo Martins,49,2023-11-28
16,400.957.568-91,Theo Lopes,72,2023-08-01
17,314.473.188-75,Luísa Pinto,24,2022-03-21
18,843.143.511-13,Sophia Ribeiro,24,2024-03-22
19,081.799.317-06,Davi Carvalho,30,2023-01-09
20,227.147.289-54,Patricia Lima,30,2024-08-01
21,544.757.291-89,Francisca Martins,26,2021-03-09
22,968.749.255-08,Francisca Castro,40,2021-02-09
23,936.438.256-62,Liz Melo,42,2024-05-18
24,115.836.417-09,Francisco Melo,77,2023-08-25
25,979.821.579-99,Theo Ribeiro,81,2020-09-02
26,484.269.467-15,Isabella Nunes,34,2021-05-02
27,330.141.066-56,Helena Melo,77,2022-12-14
29,146.495.236-02,Sophia Dias,71,2023-10-23
30,767.145.429-14,Aline Gomes,51,2020-10-10
31,811.530.852-64,Maitê Martins,82,2022-01-04
32,319.431.144-80,Manuela Costa,73,2021-12-17
33,981.670.380-08,Cecília Rocha,62,2022-11-29
34,642.520.187-57,Adriana Rocha,60,2021-05-14
35,667.637.319-14,Gabriel Dias,20,2023-06-25
36,634.693.310-75,Theo Mendes,66,2023-03-09
37,705.816.513-29,Luísa Fernandes,20,2022-01-19
38,458.749.191-18,Laura Castro,28,2021-11-04
39,114.718.337-37,Adriana Martins,26,2024-04-18
40,369.378.140-59,Marcos Rocha,24,2021-12-25
41,432.548.877-08,Luiz Dias,61,2021-01-08
42,088.199.193-47,Gael Monteiro,72,2023-07-28
43,212.115.688-69,Helena Ribeiro,52,2021-06-26
44,557.558.106-90,Paulo Rocha,63,2024-05-11
45,348.673.811-92,Helena Vieira,30,2020-03-27
46,165.736.219-58,Patricia Ribeiro,31,2023-01-08
